Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2023-23575,2023-04-11,"Improper access control vulnerability in CONPROSYS IoT Gateway products allows a remote authenticated attacker to bypass access restriction and access Network Maintenance page, which may result in obtaining the network information of the product. The affected products and versions are as follows: M2M Gateway with the firmware Ver.3.7.10 and earlier (CPS-MG341-ADSC1-111, CPS-MG341-ADSC1-931, CPS-MG341G-ADSC1-111, CPS-MG341G-ADSC1-930, and CPS-MG341G5-ADSC1-931), M2M Controller Integrated Type with firmware Ver.3.7.6 and earlier versions (CPS-MC341-ADSC1-111, CPS-MC341-ADSC1-931, CPS-MC341-ADSC2-111, CPS-MC341G-ADSC1-110, CPS-MC341Q-ADSC1-111, CPS-MC341-DS1-111, CPS-MC341-DS11-111, CPS-MC341-DS2-911, and CPS-MC341-A1-111), and M2M Controller Configurable Type with firmware Ver.3.8.8 and earlier versions (CPS-MCS341-DS1-111, CPS-MCS341-DS1-131, CPS-MCS341G-DS1-130, CPS-MCS341G5-DS1-130, and CPS-MCS341Q-DS1-131).",4.3,3.1,CWE-284,cpe:2.3:o:contec:cps-mg341-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g-adsc1-930_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g-adsc1-930:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g5-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g5-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc2-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc2-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341g-adsc1-110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341g-adsc1-110:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341q-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341q-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds11-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds11-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds2-911_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds2-911:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-a1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-a1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341-ds1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341-ds1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341-ds1-131_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341-ds1-131:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341g-ds1-130_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341g-ds1-130:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341g5-ds1-130_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341g5-ds1-130:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341q-ds1-131_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341q-ds1-131:-:*:*:*:*:*:*:*
keyword_only,CVE-2023-27389,2023-04-11,"Inadequate encryption strength vulnerability in CONPROSYS IoT Gateway products allows a remote authenticated attacker with an administrative privilege to apply a specially crafted Firmware update file, alter the information, cause a denial-of-service (DoS) condition, and/or execute arbitrary code. The affected products and versions are as follows: M2M Gateway with the firmware Ver.3.7.10 and earlier (CPS-MG341-ADSC1-111, CPS-MG341-ADSC1-931, CPS-MG341G-ADSC1-111, CPS-MG341G-ADSC1-930, and CPS-MG341G5-ADSC1-931), M2M Controller Integrated Type with firmware Ver.3.7.6 and earlier versions (CPS-MC341-ADSC1-111, CPS-MC341-ADSC1-931, CPS-MC341-ADSC2-111, CPS-MC341G-ADSC1-110, CPS-MC341Q-ADSC1-111, CPS-MC341-DS1-111, CPS-MC341-DS11-111, CPS-MC341-DS2-911, and CPS-MC341-A1-111), and M2M Controller Configurable Type with firmware Ver.3.8.8 and earlier versions (CPS-MCS341-DS1-111, CPS-MCS341-DS1-131, CPS-MCS341G-DS1-130, CPS-MCS341G5-DS1-130, and CPS-MCS341Q-DS1-131).",7.2,3.1,CWE-326,cpe:2.3:o:contec:cps-mg341-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g-adsc1-930_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g-adsc1-930:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g5-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g5-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc2-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc2-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341g-adsc1-110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341g-adsc1-110:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341q-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341q-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds11-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds11-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds2-911_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds2-911:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-a1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-a1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341-ds1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341-ds1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341-ds1-131_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341-ds1-131:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341g-ds1-130_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341g-ds1-130:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341g5-ds1-130_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341g5-ds1-130:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341q-ds1-131_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341q-ds1-131:-:*:*:*:*:*:*:*
keyword_only,CVE-2023-27917,2023-04-11,"OS command injection vulnerability in CONPROSYS IoT Gateway products allows a remote authenticated attacker who can access Network Maintenance page to execute arbitrary OS commands with a root privilege. The affected products and versions are as follows: M2M Gateway with the firmware Ver.3.7.10 and earlier (CPS-MG341-ADSC1-111, CPS-MG341-ADSC1-931, CPS-MG341G-ADSC1-111, CPS-MG341G-ADSC1-930, and CPS-MG341G5-ADSC1-931), M2M Controller Integrated Type with firmware Ver.3.7.6 and earlier versions (CPS-MC341-ADSC1-111, CPS-MC341-ADSC1-931, CPS-MC341-ADSC2-111, CPS-MC341G-ADSC1-110, CPS-MC341Q-ADSC1-111, CPS-MC341-DS1-111, CPS-MC341-DS11-111, CPS-MC341-DS2-911, and CPS-MC341-A1-111), and M2M Controller Configurable Type with firmware Ver.3.8.8 and earlier versions (CPS-MCS341-DS1-111, CPS-MCS341-DS1-131, CPS-MCS341G-DS1-130, CPS-MCS341G5-DS1-130, and CPS-MCS341Q-DS1-131).",8.8,3.1,CWE-78,cpe:2.3:o:contec:cps-mg341-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g-adsc1-930_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g-adsc1-930:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mg341g5-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mg341g5-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc1-931_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc1-931:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-adsc2-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-adsc2-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341g-adsc1-110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341g-adsc1-110:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341q-adsc1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341q-adsc1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds11-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds11-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-ds2-911_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-ds2-911:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mc341-a1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mc341-a1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341-ds1-111_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341-ds1-111:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341-ds1-131_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341-ds1-131:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341g-ds1-130_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341g-ds1-130:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341g5-ds1-130_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341g5-ds1-130:-:*:*:*:*:*:*:*|cpe:2.3:o:contec:cps-mcs341q-ds1-131_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:contec:cps-mcs341q-ds1-131:-:*:*:*:*:*:*:*
keyword_only,CVE-2023-0970,2023-06-21,Multiple buffer overflow vulnerabilities in SiLabs Z/IP Gateway SDK version 7.18.01 and earlier allow an attacker with invasive physical access to a Z-Wave controller device to overwrite global memory and potentially execute arbitrary code.,6.8,3.1,CWE-125|CWE-787|CWE-120,cpe:2.3:a:silabs:z\/ip_gateway_sdk:*:*:*:*:*:*:*:*
keyword_only,CVE-2023-0971,2023-06-21,"A logic error in SiLabs Z/IP Gateway SDK 7.18.02 and earlier allows authentication to be bypassed, remote administration of Z-Wave controllers, and S0/S2 encryption keys to be recovered.",8.8,3.1,CWE-268|CWE-863,cpe:2.3:a:silabs:z\/ip_gateway_sdk:*:*:*:*:*:*:*:*
keyword_only,CVE-2023-5310,2023-12-15,A denial of service vulnerability exists in all Silicon Labs Z-Wave controller and endpoint devices running Z-Wave SDK v7.20.3 (Gecko SDK v4.3.3) and earlier. This attack can be carried out only by devices on the network sending a stream of packets to the device.,6.5,3.1,CWE-248,cpe:2.3:a:silabs:z-wave_software_development_kit:*:*:*:*:*:*:*:*|cpe:2.3:h:silabs:z-wave_long_range_700:-:*:*:*:*:*:*:*|cpe:2.3:h:silabs:z-wave_long_range_800:-:*:*:*:*:*:*:*
keyword_only,CVE-2024-29195,2024-03-26,"The azure-c-shared-utility is a C library for AMQP/MQTT communication to Azure Cloud Services. This library may be used by the Azure IoT C SDK for communication between IoT Hub and IoT Hub devices. An attacker can cause an integer wraparound or under-allocation or heap buffer overflow due to vulnerabilities in parameter checking mechanism, by exploiting the buffer length parameter in Azure C SDK, which may lead to remote code execution. Requirements for RCE are 1. Compromised Azure account allowing malformed payloads to be sent to the device via IoT Hub service, 2. By passing IoT hub service max message payload limit of 128KB, and 3. Ability to overwrite code space with remote code. Fixed in commit https://github.com/Azure/azure-c-shared-utility/commit/1129147c38ac02ad974c4c701a1e01b2141b9fe2.",8.1,3.1,CWE-120,cpe:2.3:a:microsoft:azure_c_shared_utility:*:*:*:*:*:*:*:*
keyword_only,CVE-2025-3442,2025-04-09,This vulnerability exists in TP-Link Tapo H200 V1  IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.,,,CWE-312,
keyword_only,CVE-2021-27289,2025-04-15,"A replay attack vulnerability was discovered in a Zigbee smart home kit manufactured by Ksix (Zigbee Gateway Module = v1.0.3, Door Sensor = v1.0.7, Motion Sensor = v1.0.12), where the Zigbee anti-replay mechanism - based on the frame counter field - is improperly implemented. As a result, an attacker within wireless range can resend captured packets with a higher sequence number, which the devices incorrectly accept as legitimate messages. This allows spoofed commands to be injected without authentication, triggering false alerts and misleading the user through notifications in the mobile application used to monitor the network.",9.1,3.1,CWE-294,
keyword_only,CVE-2025-29628,2025-07-25,"A Gardyn Azure IoT Hub connection string is downloaded over an insecure HTTP connection in Gardyn Home Kit firmware before master.619, Home Kit Mobile Application before 2.11.0, and Home Kit Cloud API before 2.12.2026 leaving the string vulnerable to interception and modification through a Man-in-the-Middle attack. This may result in the attacker capturing device credentials or taking control of vulnerable home kits.",9.4,3.1,CWE-924|CWE-77|CWE-200,
