category,metric,value,n,pct
garden,confidentiality,Low,3,15.8
garden,confidentiality,None,2,10.5
garden,integrity,High,14,73.7
garden,integrity,Low,3,15.8
garden,integrity,None,2,10.5
garden,availability,High,11,57.9
garden,availability,Low,1,5.3
garden,availability,None,7,36.8
garden,impact_combination,C+I+A,12,63.2
garden,impact_combination,C+I,3,15.8
garden,impact_combination,C,2,10.5
garden,impact_combination,I,2,10.5
pet,attack_vector,Network,22,62.9
pet,attack_vector,Adjacent,5,14.3
pet,attack_vector,Local,1,2.9
pet,attack_vector,Physical,7,20.0
pet,attack_complexity,Low,22,62.9
pet,attack_complexity,High,13,37.1
pet,privileges_required,None,30,85.7
pet,privileges_required,Low,5,14.3
pet,user_interaction,None,35,100.0
pet,scope,Unchanged,35,100.0
pet,confidentiality,High,27,77.1
pet,confidentiality,Low,2,5.7
pet,confidentiality,None,6,17.1
pet,integrity,High,20,57.1
pet,integrity,Low,2,5.7
pet,integrity,None,13,37.1
pet,availability,High,22,62.9
pet,availability,Low,1,2.9
pet,availability,None,12,34.3
pet,impact_combination,C+I+A,17,48.6
pet,impact_combination,C+I,3,8.6
pet,impact_combination,C+A,1,2.9
pet,impact_combination,I+A,1,2.9
pet,impact_combination,C,8,22.9
pet,impact_combination,I,1,2.9
pet,impact_combination,A,4,11.4
streaming,attack_vector,Network,34,46.6
streaming,attack_vector,Adjacent,9,12.3
streaming,attack_vector,Local,28,38.4
streaming,attack_vector,Physical,2,2.7
streaming,attack_complexity,Low,67,91.8
streaming,attack_complexity,High,6,8.2
streaming,privileges_required,None,56,76.7
streaming,privileges_required,Low,17,23.3
streaming,user_interaction,None,50,68.5
streaming,user_interaction,Required,23,31.5
streaming,scope,Unchanged,69,94.5
streaming,scope,Changed,4,5.5
streaming,confidentiality,High,51,69.9
streaming,confidentiality,Low,2,2.7
streaming,confidentiality,None,20,27.4
streaming,integrity,High,47,64.4
streaming,integrity,Low,5,6.8
streaming,integrity,None,21,28.8
streaming,availability,High,49,67.1
streaming,availability,Low,3,4.1
streaming,availability,None,21,28.8
streaming,impact_combination,C+I+A,39,53.4
streaming,impact_combination,C+I,3,4.1
streaming,impact_combination,I+A,3,4.1
streaming,impact_combination,C,11,15.1
streaming,impact_combination,I,7,9.6
streaming,impact_combination,A,10,13.7
airconditioner,attack_vector,Network,3,60.0
airconditioner,attack_vector,Adjacent,1,20.0
airconditioner,attack_vector,Physical,1,20.0
airconditioner,attack_complexity,Low,5,100.0
airconditioner,privileges_required,None,5,100.0
airconditioner,user_interaction,None,3,60.0
airconditioner,user_interaction,Required,2,40.0
airconditioner,scope,Unchanged,4,80.0
airconditioner,scope,Changed,1,20.0
airconditioner,confidentiality,High,3,60.0
airconditioner,confidentiality,Low,2,40.0
airconditioner,integrity,High,2,40.0
airconditioner,integrity,Low,3,60.0
airconditioner,availability,High,2,40.0
airconditioner,availability,Low,2,40.0
airconditioner,availability,None,1,20.0
airconditioner,impact_combination,C+I+A,4,80.0
airconditioner,impact_combination,C+I,1,20.0
cameras,attack_vector,Network,644,78.1
cameras,attack_vector,Adjacent,102,12.4
cameras,attack_vector,Local,44,5.3
cameras,attack_vector,Physical,35,4.2
cameras,attack_complexity,Low,758,91.9
cameras,attack_complexity,High,67,8.1
cameras,privileges_required,None,561,68.0
cameras,privileges_required,Low,202,24.5
cameras,privileges_required,High,62,7.5
cameras,user_interaction,None,767,93.0
cameras,user_interaction,Required,58,7.0
cameras,scope,Unchanged,717,86.9
cameras,scope,Changed,108,13.1
cameras,confidentiality,High,550,66.7
cameras,confidentiality,Low,77,9.3
cameras,confidentiality,None,198,24.0
cameras,integrity,High,467,56.6
cameras,integrity,Low,62,7.5
cameras,integrity,None,296,35.9
cameras,availability,High,584,70.8
cameras,availability,Low,22,2.7
cameras,availability,None,219,26.5
cameras,impact_combination,C+I+A,439,53.2
cameras,impact_combination,C+I,41,5.0
cameras,impact_combination,C+A,6,0.7
cameras,impact_combination,I+A,12,1.5
cameras,impact_combination,C,141,17.1
cameras,impact_combination,I,37,4.5
cameras,impact_combination,A,149,18.1
