category,vendor_product,matched_tokens,n_new_cves,covered_elsewhere_slug,risk_flags,sample_cves,sample_descriptions
hub,symantec:web_gateway_appliance_8490,gateway,6,,broad-token|non-consumer-vendor,CVE-2013-1616|CVE-2013-1617|CVE-2013-4670,The management console on the Symantec Web Gateway (SWG) appliance before 5.1.1 allows remote attackers to execute arbitrary commands by injecting a c|Multiple SQL injection vulnerabilities in the management console on the Symantec Web Gateway (SWG) appliance before 5.1.1 allow remote authenticated a|Multiple cross-site scripting (XSS) vulnerabilities in the management console on the Symantec Web Gateway (SWG) appliance before 5.1.1 allow remote at
hub,compal_broadband_networks:cg6640e_wireless_gateway,gateway,5,,broad-token,CVE-2014-8653|CVE-2014-8654|CVE-2014-8655,Cross-site scripting (XSS) vulnerability in Compal Broadband Networks (CBN) CH6640E and CG6640E Wireless Gateway 1.0 with firmware CH6640-3.5.11.7-NOS|Multiple cross-site request forgery (CSRF) vulnerabilities in Compal Broadband Networks (CBN) CH6640E and CG6640E Wireless Gateway hardware 1.0 with f|The Compal Broadband Networks (CBN) CH6640E and CG6640E Wireless Gateway 1.0 with firmware CH6640-3.5.11.7-NOSH allows remote attackers to bypass auth
hub,compal_broadband_networks:ch664oe_wireless_gateway,gateway,5,,broad-token,CVE-2014-8653|CVE-2014-8654|CVE-2014-8655,Cross-site scripting (XSS) vulnerability in Compal Broadband Networks (CBN) CH6640E and CG6640E Wireless Gateway 1.0 with firmware CH6640-3.5.11.7-NOS|Multiple cross-site request forgery (CSRF) vulnerabilities in Compal Broadband Networks (CBN) CH6640E and CG6640E Wireless Gateway hardware 1.0 with f|The Compal Broadband Networks (CBN) CH6640E and CG6640E Wireless Gateway 1.0 with firmware CH6640-3.5.11.7-NOSH allows remote attackers to bypass auth
hub,kunbus:pr100088_modbus_gateway_firmware,gateway,5,,broad-token,CVE-2019-6527|CVE-2019-6533|CVE-2019-6549,PR100088 Modbus gateway versions prior to Release R02 (or Software Version 1.1.13166) may allow an attacker to be able to change the password for an a|Registers used to store Modbus values can be read and written from the web interface without authentication in the PR100088 Modbus gateway versions pr|An attacker could retrieve plain-text credentials stored in a XML file on PR100088 Modbus gateway versions prior to Release R02 (or Software Version 1
hub,kunbus:pr100088_modbus_gateway,gateway,5,,broad-token,CVE-2019-6527|CVE-2019-6533|CVE-2019-6549,PR100088 Modbus gateway versions prior to Release R02 (or Software Version 1.1.13166) may allow an attacker to be able to change the password for an a|Registers used to store Modbus values can be read and written from the web interface without authentication in the PR100088 Modbus gateway versions pr|An attacker could retrieve plain-text credentials stored in a XML file on PR100088 Modbus gateway versions prior to Release R02 (or Software Version 1
hub,cisco:ic3000_industrial_compute_gateway,gateway,5,,broad-token|non-consumer-vendor,CVE-2022-20725|CVE-2023-20076|CVE-2019-12714,"Multiple vulnerabilities in the Cisco IOx application hosting environment on multiple Cisco platforms could allow an attacker to inject arbitrary comm|A vulnerability in the Cisco IOx application hosting environment could allow an authenticated, remote attacker to execute arbitrary commands as root o|A vulnerability in the web-based management interface of Cisco IC3000 Industrial Compute Gateway could allow an authenticated, remote attacker to caus"
hub,dell:edge_gateway_5200,gateway,5,doorlock,broad-token|non-consumer-vendor,CVE-2023-32467|CVE-2023-32472|CVE-2023-32471,"Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds read vulnerability. A local authenticated malicious user with high privilege"
hub,dell:edge_gateway_3200_firmware,gateway,5,doorlock,broad-token|non-consumer-vendor,CVE-2023-32467|CVE-2023-32472|CVE-2023-32466,"Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg|Dell Edge Gateway BIOS, versions 3200 and 5200, contains an out-of-bounds write vulnerability. A local authenticated malicious user with high privileg"
hub,enphase:iq_gateway_firmware,gateway,5,home-power,broad-token,CVE-2024-21876|CVE-2024-21877|CVE-2024-21878,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability via a URL parameter in Enphase IQ Gateway (formerly known|Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability through a url parameter in Enphase IQ Gateway (formerly k|Improper Neutralization of Special Elements used in a Command ('Command Injection') vulnerability in Enphase IQ Gateway (formerly known as Envoy) allo
hub,enphase:iq_gateway,gateway,5,home-power,broad-token,CVE-2024-21876|CVE-2024-21877|CVE-2024-21878,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability via a URL parameter in Enphase IQ Gateway (formerly known|Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability through a url parameter in Enphase IQ Gateway (formerly k|Improper Neutralization of Special Elements used in a Command ('Command Injection') vulnerability in Enphase IQ Gateway (formerly known as Envoy) allo
