Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2013-6952,10.0,HIGH,CWE-310,CWE-310,"The Belkin WeMo Home Automation firmware before 3949 has a hardcoded GPG key, which makes it easier for remote attackers to spoof firmware updates and execute arbitrary code via crafted signed data."
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2018-6692,10.0,CRITICAL,CWE-787,CWE-787,Stack-based Buffer Overflow vulnerability in libUPnPHndlr.so in Belkin Wemo Insight Smart Plug allows remote attackers to bypass local security protection via a crafted HTTP post packet.
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2019-12780,9.8,CRITICAL,CWE-78,CWE-78,The Belkin Wemo Enabled Crock-Pot allows command injection in the Wemo UPnP API via the SmartDevURL argument to the SetSmartDevInfo action. A simple POST request to /upnp/control/basicevent1 can allow an attacker to execute commands without authentication.
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2019-17532,7.5,HIGH,CWE-306,CWE-306,"An issue was discovered on Belkin Wemo Switch 28B WW_2.00.11057.PVT-OWRT-SNS devices. They allow remote attackers to cause a denial of service (persistent rules-processing outage) via a crafted ruleDbBody element in a StoreRules request to the upnp/control/rules1 URI, because database corruption occurs."
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2019-17094,8.3,HIGH,CWE-121,CWE-121,A Stack-based Buffer Overflow vulnerability in libbelkin_api.so component of Belkin WeMo Insight Switch firmware allows a local attacker to obtain code execution on the device. This issue affects: Belkin WeMo Insight Switch firmware version 2.00.11396 and prior versions.
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2013-2748,9.8,CRITICAL,CWE-434,CWE-434,Belkin Wemo Switch before WeMo_US_2.00.2176.PVT could allow remote attackers to upload arbitrary files onto the system.
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2021-21266,6.4,MEDIUM,CWE-611,CWE-611,"openHAB is a vendor and technology agnostic open source automation software for your home. In openHAB before versions 2.5.12 and 3.0.1 the XML external entity (XXE) attack allows attackers in the same network as the openHAB instance to retrieve internal information like the content of files from the file system. Responses to SSDP requests can be especially malicious. All add-ons that use SAX or JAXB parsing of externally received XML are potentially subject to this kind of attack. In openHAB, the following add-ons are potentially impacted: AvmFritz, BoseSoundtouch, DenonMarantz, DLinkSmarthome, Enigma2, FmiWeather, FSInternetRadio, Gce, Homematic, HPPrinter, IHC, Insteon, Onkyo, Roku, SamsungTV, Sonos, Roku, Tellstick, TR064, UPnPControl, Vitotronic, Wemo, YamahaReceiver and XPath Tranformation. The vulnerabilities have been fixed in versions 2.5.12 and 3.0.1 by a more strict configuration of the used XML parser."
CategoryIX_IoTDeviceTypes.xlsx,wemo,CVE-2023-33768,6.5,MEDIUM,CWE-347,CWE-347,Incorrect signature verification of the firmware during the Device Firmware Update process of Belkin Wemo Smart Plug WSP080 v1.2 allows attackers to cause a Denial of Service (DoS) via a crafted firmware file.
CategoryIX_IoTDeviceTypes.xlsx,sonoff,CVE-2020-7470,4.8,MEDIUM,CWE-79,CWE-79,Sonoff TH 10 and 16 devices with firmware 6.6.0.21 allows XSS via the Friendly Name 1 field (after a successful login with the Web Admin Password).
CategoryI_SmartHomeDeviceTypes.xlsx,smart home,CVE-2023-31761,7.5,HIGH,CWE-294,CWE-294,Weak security in the transmitter of Blitzwolf BW-IS22 Smart Home Security Alarm v1.0 allows attackers to gain full access to the system via a code replay attack.
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2015-4080,6.8,MEDIUM,CWE-310,CWE-310,"The Kankun Smart Socket device and mobile application uses a hardcoded AES 256 bit key, which makes it easier for remote attackers to (1) obtain sensitive information by sniffing the network and (2) obtain access to the device by encrypting messages."
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2023-33768,6.5,MEDIUM,CWE-347,CWE-347,Incorrect signature verification of the firmware during the Device Firmware Update process of Belkin Wemo Smart Plug WSP080 v1.2 allows attackers to cause a Denial of Service (DoS) via a crafted firmware file.
CategoryI_SmartHomeDeviceTypes.xlsx,smart device,CVE-2023-39841,4.6,MEDIUM,CWE-311,CWE-311,Missing encryption in the RFID tag of Etekcity 3-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.
