Source File,Source Sheet,CVE,CVSS,CVSS Severity,CWE,CWE Name,Description
CategoryVIII_ProtocolDeviceTypes.xlsx,smart home,CVE-2021-47710,,,CWE-306,CWE-306,"COMMAX Smart Home System is a smart IoT home solution that allows an unauthenticated attacker to disclose RTSP credentials in plain-text by exploiting the /overview.asp endpoint. Attackers can access sensitive information, including login credentials and DVR settings, by submitting a GET request to this endpoint."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2020-9473,6.6,MEDIUM,CWE-306,CWE-306,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 has a passwordless ftp ssh user. By using an exploit chain, an attacker with access to the network can get root access on the gateway."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2020-9474,8.8,HIGH,CWE-494,CWE-494,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 allows remote code execution via the backup functionality in the web frontend. By using an exploit chain, an attacker with access to the network can get root access on the gateway."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2020-9475,7.0,HIGH,CWE-362,CWE-362,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 allows local privilege escalation via a race condition in logrotate. By using an exploit chain, an attacker with access to the network can get root access on the gateway."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2020-28713,6.5,MEDIUM,CWE-294,CWE-294,"Incorrect access control in push notification service in Night Owl Smart Doorbell FW version 20190505 allows remote users to send push notification events via an exposed PNS server. A remote attacker can passively record push notification events which are sent over an insecure web request. The web service does not authenticate requests, and allows attackers to send an indefinite amount of motion or doorbell events to a user's mobile application by either replaying or deliberately crafting false events."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2024-34896,7.5,HIGH,,,"An issue in Nedis SmartLife Video Doorbell (WIFICDP10GY), Nedis SmartLife IOS v1.4.0 causes users who are disconnected from a previous peer-to-peer connection with the device to still have access to live video feed."
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-55626,5.3,MEDIUM,CWE-284,CWE-284,An Insecure Direct Object Reference (IDOR) vulnerability in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows unauthorized attackers to access the Admin-only settings and edit the session storage.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-55627,5.3,MEDIUM,CWE-269,CWE-269,Insufficient privilege verification in Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 allows authenticated attackers to create accounts with elevated privileges.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-55630,7.3,HIGH,CWE-284,CWE-284,A discrepancy in the error message returned by the login function of Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 when entering the wrong username and password allows attackers to enumerate existing accounts.
CategoryVI_ApplianceDeviceTypes.xlsx,smart ac,CVE-2025-55631,4.0,MEDIUM,CWE-400,CWE-400,"Reolink Smart 2K+ Plug-in Wi-Fi Video Doorbell with Chime - firmware v3.0.0.4662_2503122283 was discovered to manage users' sessions system wide instead of an account-by-account basis, potentially leading to a Denial of Service (DoS) via resource exhaustion. NOTE: the Supplier reports that the system-wide limit is intentional."
