iri	vocabulary
https://saref.etsi.org/saref4auto/Trailer	SAREF4AUTO
https://saref.etsi.org/saref4auto/UltrasonicSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/UwbSensor	SAREF4AUTO
https://saref.etsi.org/saref4auto/VRUCluster	SAREF4AUTO
https://saref.etsi.org/saref4auto/Vehicle	SAREF4AUTO
https://saref.etsi.org/saref4auto/VulnerableRoadUser	SAREF4AUTO
https://saref.etsi.org/saref4bldg/Actuator	SAREF4BLDG
https://saref.etsi.org/saref4bldg/AirToAirHeatRecovery	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Alarm	SAREF4BLDG
https://saref.etsi.org/saref4bldg/AudioVisualAppliance	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Boiler	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Building	SAREF4BLDG
https://saref.etsi.org/saref4bldg/BuildingDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/BuildingObject	SAREF4BLDG
https://saref.etsi.org/saref4bldg/BuildingSpace	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Burner	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Chiller	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Coil	SAREF4BLDG
https://saref.etsi.org/saref4bldg/CommunicationAppliance	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Compressor	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Condenser	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Controller	SAREF4BLDG
https://saref.etsi.org/saref4bldg/CooledBeam	SAREF4BLDG
https://saref.etsi.org/saref4bldg/CoolingTower	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Damper	SAREF4BLDG
https://saref.etsi.org/saref4bldg/DistributionControlDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/DistributionDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/DistributionFlowDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/DuctSilencer	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ElectricAppliance	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ElectricFlowStorageDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ElectricGenerator	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ElectricMotor	SAREF4BLDG
https://saref.etsi.org/saref4bldg/ElectricTimeControl	SAREF4BLDG
https://saref.etsi.org/saref4bldg/EnergyConversionDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Engine	SAREF4BLDG
https://saref.etsi.org/saref4bldg/EvaporativeCooler	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Evaporator	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Fan	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Filter	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FireSuppressionTerminal	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowController	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowInstrument	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowMeter	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowMovingDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowStorageDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowTerminal	SAREF4BLDG
https://saref.etsi.org/saref4bldg/FlowTreatmentDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/HeatExchanger	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Humidifier	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Interceptor	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Lamp	SAREF4BLDG
https://saref.etsi.org/saref4bldg/MedicalDevice	SAREF4BLDG
https://saref.etsi.org/saref4bldg/Outlet	SAREF4BLDG
https://saref.etsi.org/saref4bldg/PhysicalObject	SAREF4BLDG
